Designator,Pin,PinName,Net,Category,Description
Q14,1,,$3N57,三极管,数量:1个N沟道;漏源电压(Vdss):20V;连续漏极电流(Id):2.1A;导通电阻(RDS(on)):115mΩ@2.5V,3.1A;耗散功率(Pd):350mW;阈值电压(Vgs(th)):1.2V;
Q14,2,,CELL_3+,三极管,数量:1个N沟道;漏源电压(Vdss):20V;连续漏极电流(Id):2.1A;导通电阻(RDS(on)):115mΩ@2.5V,3.1A;耗散功率(Pd):350mW;阈值电压(Vgs(th)):1.2V;
Q14,3,,$3N55,三极管,数量:1个N沟道;漏源电压(Vdss):20V;连续漏极电流(Id):2.1A;导通电阻(RDS(on)):115mΩ@2.5V,3.1A;耗散功率(Pd):350mW;阈值电压(Vgs(th)):1.2V;
D8,1,,$3N57,二极管,二极管配置:独立式;稳压值(标称值):5.1V;稳压值(范围):4.85V~5.36V;耗散功率(Pd):350mW;
D8,2,,CELL_3+,二极管,二极管配置:独立式;稳压值(标称值):5.1V;稳压值(范围):4.85V~5.36V;耗散功率(Pd):350mW;
R70,1,,$3N75,电阻,电阻类型:厚膜电阻;阻值:1kΩ;精度:±1%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
R70,2,,$3N121,电阻,电阻类型:厚膜电阻;阻值:1kΩ;精度:±1%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
R71,1,,CELL_3+,电阻,电阻类型:厚膜电阻;阻值:2kΩ;精度:±5%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
R71,2,,$3N210,电阻,电阻类型:厚膜电阻;阻值:2kΩ;精度:±5%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
Q17,1,,$3N75,三极管,数量:1个N沟道;漏源电压(Vdss):20V;连续漏极电流(Id):2.1A;导通电阻(RDS(on)):115mΩ@2.5V,3.1A;耗散功率(Pd):350mW;阈值电压(Vgs(th)):1.2V;
Q17,2,,CELL_2+,三极管,数量:1个N沟道;漏源电压(Vdss):20V;连续漏极电流(Id):2.1A;导通电阻(RDS(on)):115mΩ@2.5V,3.1A;耗散功率(Pd):350mW;阈值电压(Vgs(th)):1.2V;
Q17,3,,$3N73,三极管,数量:1个N沟道;漏源电压(Vdss):20V;连续漏极电流(Id):2.1A;导通电阻(RDS(on)):115mΩ@2.5V,3.1A;耗散功率(Pd):350mW;阈值电压(Vgs(th)):1.2V;
D11,1,,$3N75,二极管,二极管配置:独立式;稳压值(标称值):5.1V;稳压值(范围):4.85V~5.36V;耗散功率(Pd):350mW;
D11,2,,CELL_2+,二极管,二极管配置:独立式;稳压值(标称值):5.1V;稳压值(范围):4.85V~5.36V;耗散功率(Pd):350mW;
R86,1,,$3N99,电阻,电阻类型:厚膜电阻;阻值:1kΩ;精度:±1%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
R86,2,,$3N94,电阻,电阻类型:厚膜电阻;阻值:1kΩ;精度:±1%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
